date,EspaceRichaud_affluence_base100k,train_valid_test
2019-03-23,391.5301638034358,train
2019-03-24,500.73245438806765,train
2019-03-27,269.0105207084831,train
2019-03-28,0.0,train
2019-03-29,0.0,train
2019-03-30,346.25116526834466,train
2019-03-31,463.44386735916896,train
2019-04-03,277.0009322146757,train
2019-04-04,191.76987614862165,train
2019-04-05,290.31828472499666,train
2019-04-06,388.8666933013717,train
2019-04-07,556.6653349314156,train
2019-04-10,300.9721667332534,train
2019-04-11,239.71234518577705,train
2019-04-12,332.9338127580237,train
2019-04-13,609.9347449726994,train
2019-04-14,609.9347449726994,train
2019-05-03,109.20229058463177,train
2019-05-04,492.7420428818751,train
2019-05-05,700.4927420428819,train
2019-05-06,327.60687175389535,train
2019-05-08,554.0018644293514,train
2019-05-09,162.47170062591556,train
2019-05-10,221.0680516713277,train
2019-05-11,676.5215075243042,train
2019-05-12,729.790917565588,train
2019-05-15,258.35663870022637,train
2019-05-16,175.7890531362365,train
2019-05-17,154.481289119723,train
2019-05-18,785.7237981089359,train
2019-05-19,591.2904514582501,train
2019-05-22,143.82740711146624,train
2019-05-23,245.03928618990543,train
2019-05-24,287.6548142229325,train
2019-05-25,434.1456918364629,train
2019-05-26,348.91463577040884,train
2019-05-29,362.2319882807298,train
2019-05-30,506.059395392196,train
2019-05-31,253.029697696098,train
2019-06-01,375.5493407910507,train
2019-06-02,282.3278732188041,train
2019-06-05,71.91370355573312,train
2019-06-06,138.50046610733784,train
2019-06-07,111.86576108669595,train
2019-06-08,340.92422426421626,train
2019-06-09,617.925156478892,train
2019-06-12,130.5100546011453,train
2019-06-13,157.1447596217872,train
2019-06-14,213.07764016513516,train
2019-06-15,388.8666933013717,train
2019-06-16,711.1466240511386,train
2019-06-18,122.51964309495271,train
2019-06-19,205.0872286589426,train
2019-06-20,106.53882008256758,train
2019-06-21,167.79864163004393,train
2019-06-22,396.8571048075642,train
2019-06-23,364.895458782794,train
2019-06-26,213.07764016513516,train
2019-06-27,95.88493807431082,train
2019-06-28,567.3192169396724,train
2019-06-29,170.46211213210813,train
2019-06-30,253.029697696098,train
2019-07-03,234.38540418164868,train
2019-07-04,207.75069916100676,train
2019-07-05,143.82740711146624,train
2019-07-06,327.60687175389535,train
2019-07-07,599.2808629644427,train
2019-07-10,202.4237581568784,train
2019-07-11,261.0201092022906,train
2019-07-12,330.2703422559595,train
2019-07-13,495.40551338393925,train
2019-07-14,0.0,train
2019-07-17,42.61552803302703,train
2019-07-18,98.54840857637501,train
2019-07-19,63.92329204954055,train
2019-07-20,149.15434811559462,train
2019-07-21,154.481289119723,train
2019-07-24,18.644293514449327,train
2019-07-25,15.980823012385137,train
2019-07-26,95.88493807431082,train
2019-07-27,191.76987614862165,train
2019-07-28,162.47170062591556,train
2019-09-19,447.4630443467838,train
2019-09-20,21.307764016513516,train
2019-09-21,1281.129311492875,train
2019-09-22,980.1571447596217,train
